LAT,LONG
"18° 47' 50,875"" S","66° 53' 15,989"" W"
"18° 55' 2,124"" S","66° 32' 12,652"" W"
"18° 45' 16,892"" S","66° 39' 57,055"" W"
"18° 49' 52,419"" S","66° 27' 25,967"" W"
"18° 47' 8,970"" S","66° 39' 37,983"" W"
"18° 46' 22,518"" S","66° 52' 4,987"" W"
"18° 48' 58,456"" S","66° 49' 35,503"" W"
"19° 0' 15,119"" S","66° 39' 37,918"" W"
"18° 50' 7,627"" S","66° 47' 40,016"" W"
"18° 53' 55,068"" S","66° 43' 38,795"" W"
"18° 52' 47,323"" S","66° 43' 12,784"" W"
"18° 52' 36,603"" S","66° 40' 47,087"" W"
"18° 53' 2,554"" S","66° 41' 11,913"" W"
"18° 52' 27,861"" S","66° 40' 57,620"" W"
"18° 49' 51,863"" S","66° 42' 34,013"" W"
"18° 51' 36,521"" S","66° 43' 13,338"" W"
"18° 52' 35,358"" S","66° 43' 56,301"" W"
"18° 51' 25,482"" S","66° 42' 35,331"" W"
"18° 52' 51,067"" S","66° 42' 20,492"" W"
"18° 53' 28,168"" S","66° 42' 22,632"" W"
"18° 52' 19,055"" S","66° 42' 12,589"" W"
"18° 49' 22,897"" S","66° 52' 43,225"" W"
"18° 1' 59,437"" S","68° 34' 45,723"" W"
"17° 35' 27,645"" S","67° 17' 28,467"" W"
"18° 52' 47,278"" S","66° 46' 26,876"" W"
"18° 46' 27,511"" S","66° 39' 46,850"" W"
"18° 57' 45,662"" S","66° 46' 50,219"" W"
"18° 57' 3,812"" S","66° 45' 57,555"" W"
"18° 49' 37,335"" S","66° 34' 6,675"" W"
"18° 48' 3,702"" S","66° 35' 3,713"" W"
"18° 47' 6,620"" S","66° 27' 20,481"" W"
"18° 46' 1,913"" S","66° 27' 48,625"" W"
"18° 46' 43,242"" S","66° 28' 46,088"" W"
"18° 44' 59,546"" S","66° 26' 29,922"" W"
"18° 44' 29,447"" S","66° 26' 37,733"" W"
"18° 45' 41,556"" S","66° 26' 28,803"" W"
"18° 44' 51,873"" S","66° 24' 33,774"" W"
"18° 46' 51,813"" S","66° 25' 47,897"" W"
"18° 46' 10,538"" S","66° 24' 20,794"" W"
"18° 45' 4,138"" S","66° 24' 43,987"" W"
"18° 44' 26,462"" S","66° 23' 54,233"" W"
"18° 44' 59,789"" S","66° 24' 19,848"" W"
"18° 47' 3,640"" S","66° 21' 51,728"" W"
"18° 49' 47,047"" S","66° 25' 2,122"" W"
"18° 49' 43,471"" S","66° 24' 3,077"" W"
"18° 52' 49,251"" S","66° 26' 52,147"" W"
"18° 55' 11,919"" S","66° 26' 29,418"" W"
"18° 53' 56,284"" S","66° 48' 1,310"" W"
"18° 58' 42,031"" S","66° 21' 30,493"" W"
"18° 56' 37,235"" S","66° 45' 54,443"" W"
"18° 44' 54,057"" S","66° 23' 6,080"" W"
"18° 52' 51,236"" S","66° 49' 37,542"" W"
"18° 51' 26,587"" S","66° 37' 21,283"" W"
"19° 11' 13,683"" S","66° 7' 10,609"" W"
"19° 7' 7,961"" S","66° 13' 49,516"" W"
"19° 2' 56,931"" S","66° 12' 56,838"" W"
"19° 4' 36,381"" S","66° 12' 40,005"" W"
"19° 5' 41,875"" S","66° 13' 29,176"" W"
"19° 11' 4,146"" S","66° 14' 28,539"" W"
"19° 9' 0,836"" S","66° 13' 22,664"" W"
"19° 8' 53,419"" S","66° 15' 1,010"" W"
"19° 7' 21,563"" S","66° 9' 56,887"" W"
"19° 7' 47,509"" S","66° 12' 22,914"" W"
"19° 7' 25,908"" S","66° 12' 47,372"" W"
"19° 8' 55,216"" S","66° 7' 43,922"" W"
"19° 3' 33,069"" S","66° 24' 0,027"" W"
"18° 55' 52,649"" S","66° 29' 6,449"" W"
"19° 7' 45,338"" S","66° 19' 31,648"" W"
"19° 7' 2,290"" S","66° 11' 56,933"" W"
"19° 8' 19,216"" S","66° 12' 21,785"" W"
"19° 5' 8,922"" S","66° 13' 36,249"" W"
"19° 4' 27,535"" S","66° 12' 49,670"" W"
"19° 6' 20,125"" S","66° 13' 43,147"" W"
"19° 3' 57,864"" S","66° 13' 24,430"" W"
"19° 4' 52,811"" S","66° 12' 16,767"" W"
"19° 7' 58,052"" S","66° 13' 18,678"" W"
"19° 7' 58,556"" S","66° 12' 19,361"" W"
"19° 7' 57,014"" S","66° 8' 45,867"" W"
"19° 8' 40,895"" S","66° 8' 50,173"" W"
"19° 6' 46,892"" S","66° 9' 23,085"" W"
"19° 9' 5,221"" S","66° 7' 28,899"" W"
"18° 59' 34,320"" S","66° 12' 16,893"" W"
"19° 8' 7,944"" S","66° 12' 28,623"" W"
"19° 12' 12,225"" S","66° 11' 48,008"" W"
"19° 8' 6,335"" S","66° 7' 21,802"" W"
"19° 10' 2,166"" S","66° 14' 44,178"" W"
"19° 10' 36,307"" S","66° 12' 25,068"" W"
"19° 10' 0,993"" S","66° 13' 52,134"" W"
"19° 8' 38,921"" S","66° 11' 3,453"" W"
"19° 8' 53,728"" S","66° 10' 41,279"" W"
"19° 8' 20,223"" S","66° 18' 45,185"" W"
"18° 59' 8,501"" S","66° 11' 23,311"" W"
"19° 7' 39,713"" S","66° 9' 35,681"" W"
"19° 9' 43,203"" S","66° 11' 18,677"" W"
"19° 6' 20,874"" S","66° 21' 53,028"" W"
"19° 3' 18,494"" S","66° 25' 46,175"" W"
"19° 7' 3,039"" S","66° 11' 48,440"" W"
"19° 5' 52,840"" S","66° 22' 7,134"" W"
"19° 7' 21,576"" S","66° 24' 45,242"" W"
"18° 56' 19,289"" S","66° 44' 53,987"" W"
"18° 47' 24,787"" S","66° 38' 48,647"" W"
"18° 50' 27,283"" S","66° 39' 3,655"" W"
"18° 48' 32,776"" S","66° 39' 54,559"" W"
"18° 45' 46,208"" S","66° 43' 51,292"" W"
"17° 42' 54,353"" S","68° 12' 14,134"" W"
"18° 50' 13,037"" S","66° 40' 0,935"" W"
"18° 50' 42,575"" S","66° 38' 53,624"" W"
"18° 49' 46,847"" S","66° 40' 24,163"" W"
"18° 47' 36,911"" S","66° 39' 44,984"" W"
"18° 47' 43,011"" S","66° 39' 26,619"" W"
"18° 41' 14,041"" S","66° 50' 23,835"" W"
"18° 44' 51,747"" S","66° 50' 42,272"" W"
"18° 45' 22,675"" S","66° 50' 59,853"" W"
"18° 45' 45,169"" S","66° 49' 0,150"" W"
"19° 13' 22,855"" S","66° 57' 29,657"" W"
"19° 16' 46,592"" S","66° 53' 29,589"" W"
"19° 22' 4,201"" S","66° 51' 54,409"" W"
"19° 14' 46,683"" S","66° 50' 31,707"" W"
