Latitude,Longitude
N 39° 40' 38'',E 116° 8' 46''
N 39° 44' 2'',E 115° 56' 26''
N 39° 45' 1'',E 116° 15' 18''
N 39° 48' 41'',E 116° 50' 15''
N 39° 47' 40'',E 116° 49' 37''
N 40° 0' 4'',E 116° 5' 33''
N 39° 55' 47'',E 116° 3' 15''
N 39° 37' 6'',E 115° 59' 36''
N 39° 57' 40'',E 116° 29' 3''
N 39° 52' 31'',E 115° 42' 26''
N 39° 38' 39'',E 116° 6' 37''
N 39° 42' 12'',E 116° 12' 35''
N 39° 49' 13'',E 116° 19' 50''
N 39° 51' 44'',E 115° 33' 16''
N 39° 41' 19'',E 115° 51' 17''
N 39° 47' 47'',E 116° 53' 32''
N 39° 41' 2'',E 116° 21' 54''
N 39° 48' 0'',E 116° 27' 0''
